Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Baldwin County, AL",01003,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,218022,Unreliable
,"Baldwin County, AL",01003,Intentional self-harm by other and unspecified firearm discharge,X74,14,218022,Unreliable
,"Calhoun County, AL",01015,Intentional self-harm by other and unspecified firearm discharge,X74,19,114277,Unreliable
,"Colbert County, AL",01033,Intentional self-harm by other and unspecified firearm discharge,X74,10,54762,Unreliable
,"Dale County, AL",01045,Intentional self-harm by other and unspecified firearm discharge,X74,10,48956,Unreliable
,"DeKalb County, AL",01049,Intentional self-harm by other and unspecified firearm discharge,X74,10,71385,Unreliable
,"Elmore County, AL",01051,Intentional self-harm by other and unspecified firearm discharge,X74,16,81887,Unreliable
,"Etowah County, AL",01055,Intentional self-harm by other and unspecified firearm discharge,X74,15,102501,Unreliable
,"Houston County, AL",01069,Intentional self-harm by other and unspecified firearm discharge,X74,14,104722,Unreliable
,"Jackson County, AL",01071,Intentional self-harm by other and unspecified firearm discharge,X74,13,51736,Unreliable
,"Jefferson County, AL",01073,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,659300,Unreliable
,"Jefferson County, AL",01073,Intentional self-harm by handgun discharge,X72,39,659300,5.9
,"Jefferson County, AL",01073,Intentional self-harm by other and unspecified firearm discharge,X74,11,659300,Unreliable
,"Lee County, AL",01081,Intentional self-harm by other and unspecified firearm discharge,X74,13,163941,Unreliable
,"Limestone County, AL",01083,Intentional self-harm by other and unspecified firearm discharge,X74,11,96174,Unreliable
,"Madison County, AL",01089,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,366519,Unreliable
,"Madison County, AL",01089,Intentional self-harm by handgun discharge,X72,22,366519,6.0
,"Madison County, AL",01089,Intentional self-harm by other and unspecified firearm discharge,X74,13,366519,Unreliable
,"Mobile County, AL",01097,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,413757,Unreliable
,"Mobile County, AL",01097,Intentional self-harm by other and unspecified firearm discharge,X74,38,413757,9.2
,"Montgomery County, AL",01101,Intentional self-harm by other and unspecified firearm discharge,X74,13,225763,Unreliable
,"Morgan County, AL",01103,Intentional self-harm by handgun discharge,X72,12,119089,Unreliable
,"St. Clair County, AL",01115,Intentional self-harm by other and unspecified firearm discharge,X74,15,88690,Unreliable
,"Shelby County, AL",01117,Intentional self-harm by other and unspecified firearm discharge,X74,16,215707,Unreliable
,"Tuscaloosa County, AL",01125,Intentional self-harm by other and unspecified firearm discharge,X74,21,208911,10.1
,"Anchorage Borough, AK",02020,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,291538,6.9
,"Anchorage Borough, AK",02020,Intentional self-harm by handgun discharge,X72,14,291538,Unreliable
,"Anchorage Borough, AK",02020,Intentional self-harm by other and unspecified firearm discharge,X74,12,291538,Unreliable
